4dtP86vkhzwNXCFpCtizce;Secret Door;57;223067;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.323;0.806;7;-6.554;0;0.0769;0.0314;1.11e-05;0.181;0.548;124.615;4
5xw2cHVLw1rlDPp3cL9Zuv;She's Thunderstorms;59;234920;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.505;0.898;7;-4.906;1;0.0329;0.000518;0.00236;0.173;0.731;118.929;4
7EUcOIbJSePmXGvAe7G79C;Black Treacle;58;217440;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.343;0.89;7;-5.759;1;0.0655;0.000821;0.0;0.0912;0.525;100.061;4
48q0vSHcJdhK3IiXH8C5WJ;Why'd You Only Call Me When You're High?;65;161124;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.691;0.631;2;-6.478;1;0.0368;0.0483;1.13e-05;0.104;0.8;92.004;4
3rq5w4bQGigXOfdN30ATJt;Do I Wanna Know?;65;272394;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.548;0.532;5;-7.596;1;0.0323;0.186;0.000263;0.217;0.405;85.03;4
29tzJGvqJPTAFs6LXmsHoA;R U Mine?;58;201726;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.288;0.758;6;-5.692;0;0.0371;0.00616;0.0;0.303;0.619;97.094;4
7a8GawTVgHZvBLQOh46he7;I Wanna Be Yours;58;183956;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.464;0.417;0;-9.345;0;0.0256;0.136;0.022;0.0974;0.479;67.528;4
4FSm0Ca6Hzd7Vx7TpSfcSy;Arabella;54;207357;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.579;0.558;2;-6.986;1;0.0895;0.0202;1.26e-06;0.212;0.506;179.949;4
7DVNEcKN7bE50N6xQ74mh2;Snap Out Of It;51;193030;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.728;0.638;5;-6.455;0;0.0336;0.249;0.0;0.116;0.872;130.014;4
56fZFRtOSMIMyVh0ZIF0AT;Knee Socks;50;257563;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-01-01;0.665;0.542;11;-8.323;0;0.033;0.123;0.00291;0.342;0.587;97.975;4
